reader,title,author,work_id,edition_id
you,"A Tongue so Sweet and Deadly (Compelling Fates Saga, #1)",Sophia St. Germain,,
you,"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich,OL38116431W,
you,"The Silversmith (The Selvaren, #1)",L.J. Claren,OL45967607W,OL62532472M
you,"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,OL37617445W,OL50713263M
you,"Stolen Midnights (Stolen Midnights, #1)",Katherine  Quinn,,
you,"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan,OL21961417W,
you,Violet Thistlewaite Is Not a Villain Anymore,Emily Krempholtz,OL44560456W,OL60853549M
you,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,OL19659793W,OL26879357M
you,"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,OL24134718W,
you,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,OL28520883W,
you,The Desert Heiress (The Seven Star Empire #1),Shoshana Rain,OL36497057W,
you,The Everlasting,Alix E. Harrow,OL44495442W,OL60768265M
you,Alchemised,SenLinYu,OL42543873W,OL57612220M
you,The Love Hypothesis,Ali Hazelwood,OL24178205W,OL31917995M
you,"A Fate Inked in Blood (Saga of the Unfated, #1)",Danielle L. Jensen,OL37579200W,OL53611179M
you,When Women Were Dragons,Kelly Barnhill,OL25987949W,OL35077760M
you,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,OL8383189W,OL7850614M
you,The Keeper of Magical Things,Julie Leong,OL42560962W,OL57773346M
you,"Witchful Thinking (Elemental Love, #1)",Celestine Martin,OL27847016W,OL38058947M
you,"Kiss and Spell (Elemental Love, #2)",Celestine Martin,OL34479240W,OL46768809M
you,"In the Company of Witches (Evenfall Witches B&B, #1)",Auralee Wallace,OL25281857W,OL33852558M
you,A Witch's Guide to Magical Innkeeping,Sangu Mandanna,OL37588227W,
you,"The Goblin Emperor (The Chronicles of Osreth, #1)",Katherine Addison,OL17270804W,OL25843813M
you,Twig's Traveling Tomes,Gryffin Murphy,OL45789645W,
you,House of Frank,Kay  Synclaire,OL37614348W,OL50735719M
you,The Keeper of Lonely Spirits,E.M.   Anderson,OL42428192W,OL57570737M
you,"Rewitched (Selcouth, #1)",Lucy Jane Wood,OL37927491W,OL51642094M
you,"On Wings of Blood (Bloodwing Academy, #1)",Briar Boleyn,OL44270772W,
you,"The Witch Collector (Witch Walker, #1)",Charissa Weaks,OL25450722W,OL34137353M
you,"The Ever King (The Ever Seas, #1)",L.J. Andrews,,
you,"Avalon Tower (Fey Academy for Spies, #1)",C.N. Crawford,OL38394882W,
you,I Must Betray You,Ruta Sepetys,OL26084796W,OL38057088M
you,All the Other Mothers Hate Me,Sarah  Harman,OL42415174W,
you,Leviathan Wakes,James S.A. Corey,OL16114008W,OL26843807M
you,"Foundation and Empire (Foundation, #2)",Isaac Asimov,OL46224W,OL3693745M
you,"Foundation (Foundation, #1)",Isaac Asimov,OL46125W,OL3693746M
you,"Planet Adyn (Theonite, #1)",M.L. Wang,,
you,The Sword of Kaigen,M.L. Wang,,
you,"The Burning God (The Poppy War, #3)",R.F. Kuang,OL21163518W,OL29468759M
you,"The Poppy War (The Poppy War, #1)",R.F. Kuang,OL19351054W,OL26807748M
you,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,OL17881901W,
you,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,OL17842279W,
you,"The Strength of the Few (Hierarchy, #2)",James Islington,OL44370085W,
you,"A Kiss of Iron (Shadows of the Tenebris Court, #1)",Clare Sager,,
you,Thornhedge,T. Kingfisher,OL28866618W,OL39778521M
you,Hemlock & Silver,T. Kingfisher,OL43926054W,OL59893604M
you,Snake-Eater,T. Kingfisher,OL44554325W,
you,A Sorceress Comes to Call,T. Kingfisher,OL37939629W,OL51343576M
you,"Swordheart (Swordheart, #1)",T. Kingfisher,OL20783649W,
